event_id,customer_id,session_id,event_type,page_url,event_timestamp,device_type
1,29,S7209,checkout,/product/4,2026-03-21 21:49:09,Desktop
2,13,S5933,product_view,/product/153,2025-08-01 17:58:03,Tablet
3,498,S5099,product_view,/product/25,2026-04-15 04:11:58,Mobile
4,472,S7165,checkout,/product/350,2025-07-07 19:34:29,Mobile
5,403,S8125,checkout,/product/255,2025-09-12 04:22:24,Mobile
6,26,S6355,checkout,/product/135,2026-02-06 13:53:02,Desktop
7,8,S6091,add_to_cart,/product/217,2026-02-13 00:38:49,Mobile
8,251,S8259,add_to_cart,/product/276,2026-04-29 04:15:40,Desktop
9,293,S8382,add_to_cart,/product/394,2025-12-04 14:31:14,Mobile
10,494,S4616,product_view,/product/401,2026-05-03 10:02:19,Tablet
11,413,S1473,checkout,/product/67,2025-07-06 16:56:39,Desktop
12,439,S7054,add_to_cart,/product/410,2025-10-29 04:47:22,Mobile
13,449,S7246,product_view,/product/438,2026-05-03 04:48:47,Tablet
14,95,S7860,add_to_cart,/product/359,2026-03-10 05:41:09,Mobile
15,28,S2776,checkout,/product/324,2025-07-10 13:13:05,Mobile
16,310,S6685,product_view,/product/474,2026-01-25 00:49:22,Desktop
17,5,S7971,product_view,/product/439,2026-05-12 12:46:08,Desktop
18,61,S3865,product_view,/product/151,2025-12-20 13:01:48,Desktop
19,494,S8404,checkout,/product/494,2026-05-06 08:24:15,Mobile
20,356,S8765,add_to_cart,/product/206,2025-07-15 13:24:47,Desktop
21,392,S6177,page_view,/product/200,2025-09-15 11:34:44,Desktop
22,54,S2295,product_view,/product/144,2025-06-10 12:22:20,Tablet
23,52,S2512,add_to_cart,/product/467,2025-12-17 15:05:16,Tablet
24,418,S5115,checkout,/product/31,2025-12-08 03:51:40,Desktop
25,390,S9795,page_view,/product/56,2026-02-18 13:58:16,Mobile
26,302,S9458,checkout,/product/247,2025-06-30 03:44:57,Tablet
27,254,S3094,product_view,/product/448,2025-07-25 16:33:51,Desktop
28,89,S6871,checkout,/product/477,2025-09-15 12:31:25,Desktop
29,477,S5476,checkout,/product/70,2026-04-06 05:12:59,Tablet
